timestamp,name,phone,website,status,message,error
"2026-03-24T20:58:21.387Z","Punta Cana","927187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:04:57.468Z","Zhen Pin Café","922127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:08:43.002Z","Punta Cana","7187893300","","failed","Hi Punta Cana,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:19:06.673Z","Zhen Pin Café","2127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:20:35.180Z","Punta Cana","7187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:25:03.714Z","Zhen Pin Café","2127962668","","failed","Hi Zhen Pin Café, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-25T17:58:48.309Z","Punta Cana","17187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:08:53.700Z","Zhen Pin Café","12127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:19:28.583Z","Pikes Cinema Bar and Grill","14106535545","","failed","Hello Pikes Cinema Bar and Grill, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:24:53.970Z","Edmondson Faculty Center Restaurant","13234421591","","failed","Hi Edmondson Faculty Center Restaurant,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:35:16.355Z","Wang's Asian Express","12394717787","","failed","Hi Wang's Asian Express, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:43:07.288Z","K-pop Haus","13157156369","","failed","Hi K-pop Haus,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:36:48.231Z","Belmont Tavern","19737599609","","failed","Hi Belmont Tavern, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:38:53.924Z","New Egypt Kitchen","16099016438","","failed","Hi New Egypt Kitchen, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:40:57.989Z","Angelo's Trattoria","16093887416","","failed","Hi Angelo's Trattoria,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:43:01.857Z","15 Fox Place","12013331476","","failed","Hi 15 Fox Place, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:45:09.892Z","Casa Bori","16095215155","","failed","Hi Casa Bori, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:48:51.940Z","First Medical Center","97126666992","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T19:48:51.945Z","Medeor 24x7 Hospital","97180055","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T19:55:40.702Z","First Medical Center","97126666992","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T19:56:54.245Z","Medeor 24x7 Hospital","97197180055","","failed","Hello Medeor 24x7 Hospital, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
"2026-03-25T19:57:09.090Z","First Medical Center","97126666992","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T19:57:54.762Z","First Medical Center","97126666992","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T19:59:15.777Z","Medeor 24x7 Hospital","97197180055","","failed","Hi Medeor 24x7 Hospital, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T20:00:51.492Z","Dr. Nada's Clinic","923341111028","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:00:51.498Z","Al Fatima Clinic, islamabad","923362824124","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:00:51.501Z","Islamabad Health Clinic","92512606836","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:00:51.502Z","Uppals Clinic","923015039090","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:00:51.510Z","Avicenna Clinic","92518448474","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:02:00.181Z","Dr. Nada's Clinic","923341111028","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:02:00.187Z","Al Fatima Clinic, islamabad","923362824124","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:02:00.189Z","Islamabad Health Clinic","92512606836","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:02:00.191Z","Uppals Clinic","923015039090","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:02:00.198Z","Avicenna Clinic","92518448474","","skipped_invalid_number","","Invalid phone number"
"2026-03-25T20:06:50.663Z","Dr. Nada's Clinic","923341111028","","failed","Hello Dr. Nada's Clinic, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Send button was not found."
"2026-03-25T20:08:06.014Z","Al Fatima Clinic, islamabad","923362824124","","sent","Hello Al Fatima Clinic, islamabad, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.",""
"2026-03-25T20:10:09.417Z","Islamabad Health Clinic","92512606836","","failed","Hi Islamabad Health Clinic, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T20:11:26.554Z","Uppals Clinic","923015039090","","sent","Hello Uppals Clinic, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.",""
"2026-03-25T20:13:30.314Z","Avicenna Clinic","92518448474","","failed","Hello Avicenna Clinic, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
